x-coordinate,y-coordinate,Similarity_score
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16996,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16940,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16905,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16952,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16932,0.75
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16929,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16903,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16915,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16913,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16904,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16920,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16993,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16909,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16995,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16963,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16967,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16990,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16906,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16949,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16971,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16959,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16912,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16921,0.75
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx1697,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16969,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx169,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16933,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16931,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16986,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16981,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16984,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16954,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16928,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16989,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16977,0.75
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16941,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx1698,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16924,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16939,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16972,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16934,0.75
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16976,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16997,0.75
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16975,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16936,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16998,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16948,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx1695,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16945,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16923,0.75
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16947,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16918,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16951,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16908,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16978,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16937,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16992,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16950,1.0
/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16901,/home/hangguo/tika-img-similarity/geo_parsed_out/sample/xx16982,1.0
